Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83985;21/08/1962;0000;;9.3;;;0.9;4.74;90.75;2;
83985;21/08/1962;1200;0;;-0.3;;;;;;
83985;22/08/1962;0000;;9.5;;;1.1;5.88;90.75;6.666667;
83985;22/08/1962;1200;6;;1.9;;;;;;
83985;23/08/1962;0000;;13.7;;;1.2;8.24;91.5;6.666667;
83985;23/08/1962;1200;12.5;;2.3;;;;;;
83985;24/08/1962;0000;;14.8;;;0.9;8.78;87;4;
83985;24/08/1962;1200;3.2;;1;;;;;;
83985;25/08/1962;0000;;15.6;;;2.1;10.64;89.5;0.666667;
83985;25/08/1962;1200;0;;3.2;;;;;;
83985;26/08/1962;0000;;19.4;;;1.1;10.32;90;0.666667;
83985;26/08/1962;1200;0;;2;;;;;;
83985;27/08/1962;0000;;15.8;;;2.3;9.3;81.5;2.666667;
83985;27/08/1962;1200;0;;2.5;;;;;;
83985;28/08/1962;0000;;13.6;;;1.6;9;82.5;3.333333;
83985;28/08/1962;1200;0;;0.7;;;;;;
83985;29/08/1962;0000;;13.6;;;2.4;10.62;90.75;2;
83985;29/08/1962;1200;0;;6.6;;;;;;
83985;30/08/1962;0000;;16.8;;;0.4;10.38;84.75;2.666667;
83985;30/08/1962;1200;4.5;;4.1;;;;;;
83985;31/08/1962;0000;;24.6;;;1.7;14.42;73.75;1.333333;
83985;31/08/1962;1200;0;;1.8;;;;;;
83985;01/09/1962;0000;;25.6;;;4.6;14.74;82;1.333333;
83985;01/09/1962;1200;0;;1.5;;;;;;
83985;02/09/1962;0000;;30.2;;;2.1;17.1;61;0.666667;
83985;02/09/1962;1200;0;;3.4;;;;;;
83985;03/09/1962;0000;;28.3;;;4;17.92;71.75;2;
83985;03/09/1962;1200;0;;7.4;;;;;;
83985;04/09/1962;0000;;25.4;;;2.1;17.5;88.25;0;
83985;04/09/1962;1200;0;;10.4;;;;;;
83985;05/09/1962;0000;;20.3;;;0.9;16.5;95;0.666667;
83985;05/09/1962;1200;19;;9.8;;;;;;
83985;06/09/1962;0000;;18.3;;;2.6;14.88;97.75;3.333333;
83985;06/09/1962;1200;26.2;;9.5;;;;;;
83985;07/09/1962;0000;;19.4;;;0.2;15.62;95.5;0.666667;
